OrderID,CustomerID,CustomerName,City,ProductID,ProductName,Category,OrderDate,Quantity,UnitPrice,Amount
1,101,Rahim,Dhaka,201,Laptop,Electronics,2025-01-03,3,50000,150000
2,102,Karim,Khulna,202,Mouse,Electronics,2025-01-05,3,1000,3000
3,103,Jamil,Dhaka,203,Keyboard,Electronics,2025-01-07,2,1500,3000
4,104,Salma,Chattogram,204,Printer,Electronics,2025-01-09,3,15000,45000
5,105,Nadia,Rajshahi,205,Monitor,Electronics,2025-01-11,3,12000,36000
6,106,Sohan,Sylhet,206,Router,Networking,2025-01-13,4,3000,12000
7,107,Tania,Dhaka,207,SSD,Storage,2025-01-15,4,6000,24000
8,108,Rifat,Khulna,208,HDD,Storage,2025-01-17,5,5000,25000
9,109,Imran,Barisal,209,UPS,Power,2025-01-19,4,8000,32000
10,110,Nila,Rangpur,210,Scanner,Electronics,2025-01-21,5,10000,50000
11,101,Rahim,Dhaka,201,Laptop,Electronics,2025-01-23,4,50000,200000
12,102,Karim,Khulna,202,Mouse,Electronics,2025-01-25,2,1000,2000
13,103,Jamil,Dhaka,203,Keyboard,Electronics,2025-01-27,2,1500,3000
14,104,Salma,Chattogram,204,Printer,Electronics,2025-01-29,4,15000,60000
15,105,Nadia,Rajshahi,205,Monitor,Electronics,2025-01-31,5,12000,60000
16,106,Sohan,Sylhet,206,Router,Networking,2025-02-02,3,3000,9000
17,107,Tania,Dhaka,207,SSD,Storage,2025-02-04,1,6000,6000
18,108,Rifat,Khulna,208,HDD,Storage,2025-02-06,3,5000,15000
19,109,Imran,Barisal,209,UPS,Power,2025-02-08,1,8000,8000
20,110,Nila,Rangpur,210,Scanner,Electronics,2025-02-10,5,10000,50000
21,101,Rahim,Dhaka,201,Laptop,Electronics,2025-02-12,2,50000,100000
22,102,Karim,Khulna,202,Mouse,Electronics,2025-02-14,2,1000,2000
23,103,Jamil,Dhaka,203,Keyboard,Electronics,2025-02-16,4,1500,6000
24,104,Salma,Chattogram,204,Printer,Electronics,2025-02-18,4,15000,60000
25,105,Nadia,Rajshahi,205,Monitor,Electronics,2025-02-20,4,12000,48000
26,106,Sohan,Sylhet,206,Router,Networking,2025-02-22,1,3000,3000
27,107,Tania,Dhaka,207,SSD,Storage,2025-02-24,2,6000,12000
28,108,Rifat,Khulna,208,HDD,Storage,2025-02-26,5,5000,25000
29,109,Imran,Barisal,209,UPS,Power,2025-02-28,4,8000,32000
30,110,Nila,Rangpur,210,Scanner,Electronics,2025-03-02,2,10000,20000
31,101,Rahim,Dhaka,201,Laptop,Electronics,2025-03-04,3,50000,150000
32,102,Karim,Khulna,202,Mouse,Electronics,2025-03-06,3,1000,3000
33,103,Jamil,Dhaka,203,Keyboard,Electronics,2025-03-08,5,1500,7500
34,104,Salma,Chattogram,204,Printer,Electronics,2025-03-10,1,15000,15000
35,105,Nadia,Rajshahi,205,Monitor,Electronics,2025-03-12,1,12000,12000
36,106,Sohan,Sylhet,206,Router,Networking,2025-03-14,1,3000,3000
37,107,Tania,Dhaka,207,SSD,Storage,2025-03-16,3,6000,18000
38,108,Rifat,Khulna,208,HDD,Storage,2025-03-18,1,5000,5000
39,109,Imran,Barisal,209,UPS,Power,2025-03-20,5,8000,40000
40,110,Nila,Rangpur,210,Scanner,Electronics,2025-03-22,5,10000,50000
41,101,Rahim,Dhaka,201,Laptop,Electronics,2025-03-24,4,50000,200000
42,102,Karim,Khulna,202,Mouse,Electronics,2025-03-26,3,1000,3000
43,103,Jamil,Dhaka,203,Keyboard,Electronics,2025-03-28,1,1500,1500
44,104,Salma,Chattogram,204,Printer,Electronics,2025-03-30,5,15000,75000
45,105,Nadia,Rajshahi,205,Monitor,Electronics,2025-04-01,5,12000,60000
46,106,Sohan,Sylhet,206,Router,Networking,2025-04-03,4,3000,12000
47,107,Tania,Dhaka,207,SSD,Storage,2025-04-05,3,6000,18000
48,108,Rifat,Khulna,208,HDD,Storage,2025-04-07,3,5000,15000
49,109,Imran,Barisal,209,UPS,Power,2025-04-09,3,8000,24000
50,110,Nila,Rangpur,210,Scanner,Electronics,2025-04-11,5,10000,50000
51,101,Rahim,Dhaka,201,Laptop,Electronics,2025-04-13,5,50000,250000
52,102,Karim,Khulna,202,Mouse,Electronics,2025-04-15,1,1000,1000
53,103,Jamil,Dhaka,203,Keyboard,Electronics,2025-04-17,4,1500,6000
54,104,Salma,Chattogram,204,Printer,Electronics,2025-04-19,4,15000,60000
55,105,Nadia,Rajshahi,205,Monitor,Electronics,2025-04-21,2,12000,24000
56,106,Sohan,Sylhet,206,Router,Networking,2025-04-23,4,3000,12000
57,107,Tania,Dhaka,207,SSD,Storage,2025-04-25,1,6000,6000
58,108,Rifat,Khulna,208,HDD,Storage,2025-04-27,5,5000,25000
59,109,Imran,Barisal,209,UPS,Power,2025-04-29,5,8000,40000
60,110,Nila,Rangpur,210,Scanner,Electronics,2025-05-01,4,10000,40000
61,101,Rahim,Dhaka,201,Laptop,Electronics,2025-05-03,1,50000,50000
62,102,Karim,Khulna,202,Mouse,Electronics,2025-05-05,5,1000,5000
63,103,Jamil,Dhaka,203,Keyboard,Electronics,2025-05-07,5,1500,7500
64,104,Salma,Chattogram,204,Printer,Electronics,2025-05-09,5,15000,75000
65,105,Nadia,Rajshahi,205,Monitor,Electronics,2025-05-11,3,12000,36000
66,106,Sohan,Sylhet,206,Router,Networking,2025-05-13,1,3000,3000
67,107,Tania,Dhaka,207,SSD,Storage,2025-05-15,4,6000,24000
68,108,Rifat,Khulna,208,HDD,Storage,2025-05-17,4,5000,20000
69,109,Imran,Barisal,209,UPS,Power,2025-05-19,1,8000,8000
70,110,Nila,Rangpur,210,Scanner,Electronics,2025-05-21,2,10000,20000
71,101,Rahim,Dhaka,201,Laptop,Electronics,2025-05-23,2,50000,100000
72,102,Karim,Khulna,202,Mouse,Electronics,2025-05-25,2,1000,2000
73,103,Jamil,Dhaka,203,Keyboard,Electronics,2025-05-27,1,1500,1500
74,104,Salma,Chattogram,204,Printer,Electronics,2025-05-29,4,15000,60000
75,105,Nadia,Rajshahi,205,Monitor,Electronics,2025-05-31,3,12000,36000
76,106,Sohan,Sylhet,206,Router,Networking,2025-06-02,2,3000,6000
77,107,Tania,Dhaka,207,SSD,Storage,2025-06-04,1,6000,6000
78,108,Rifat,Khulna,208,HDD,Storage,2025-06-06,3,5000,15000
79,109,Imran,Barisal,209,UPS,Power,2025-06-08,2,8000,16000
80,110,Nila,Rangpur,210,Scanner,Electronics,2025-06-10,1,10000,10000
